COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
STEUBEN     ,7651,1823351.05,4322,524354.54,27.41,3329,1298996.51,29.98
SULLIVAN    ,4883,807045.23,2536,325581.74,23.15,2347,481463.49,28.89
SWITZERLAND ,2289,364760.4,1273,134974.15,19.35,1016,229786.25,38.99
TIPPECANOE  ,29517,5199348.81,16265,2276279.83,32.07,13252,2923068.98,29.48
TIPTON      ,2575,404458.99,1331,199714.26,28.39,1244,204744.73,33.68
VANDERBURGH ,71656,11288744.78,39564,5272615.1,22.89,32092,6016129.68,22.61
VERMILLION  ,4277,861279.17,2356,375871.39,22.83,1921,485407.78,31.18
VIGO        ,32849,4908831.55,17856,2264765.67,22.85,14993,2644065.88,24.11
WABASH      ,7436,1224242.83,4335,624031.57,30,3101,600211.26,29.99
WARRICK     ,8368,1189470.4,4554,532631.27,22.87,3814,656839.13,22.18
WASHINGTON  ,7328,1168925.62,4109,537330.52,20,3219,631595.1,27.8
WAYNE       ,19807,3494133.44,10969,1860259.38,20.46,8838,1633874.06,28.77
WELLS       ,5332,729100.14,3058,368195.49,23.1,2274,360904.65,27.4
WHITE       ,4383,672205.55,2357,332225.53,22.89,2026,339980.02,29.16
WHITLEY     ,7385,1122332.05,3945,439684.66,25.96,3440,682647.39,29.98
